# 欽定詞譜 (1715), one row per 格 (metrical pattern) of one 詞牌 (tune title).
# THE TRADITION'S OWN SPEC. Doctrine 62: the primary source states the rule you
# were about to invent, and here it states the one thing a text can never
# supply -- WHICH line ends the tune mandates as rhymes and which it does not.
# Without it a ci rhyme measurement has to infer its own ground truth from the
# characters it is scoring, which is doctrine 13's circularity in one step.
#
# SOURCE  hulbji/couyun, MIT (LICENSE at repo root, covers the repository),
#         couyun/ci_pu/ci_list/cipai_*.json -- 817 per-詞牌 files transcribed
#         from the 欽定詞譜. Reached by `git clone https://github.com/hulbji/
#         couyun` (data/CHANNELS.md). The 欽定詞譜 itself is a 1715 imperial
#         compilation: a millennium-adjacent work three centuries out of any
#         term (doctrine 40, the outer layer is MIT and the inner layer is
#         expired).
#
# COLUMNS
#   tune      the 詞牌, in traditional characters
#   aliases   other names the 詞譜 gives the same tune, '|' separated
#   chars     total characters in the 格
#   groups    the rhyme groups: positions '.' separated within a group, groups
#             '/' separated. Positions are 0-based indices into the poem's
#             character sequence with all punctuation stripped. TWO POSITIONS
#             RHYME IFF THEY ARE IN THE SAME GROUP.
#   ju        line ends the spec marks 句 -- it mandates NO rhyme there. This
#             column is what makes a matched control possible at all.
#   du        讀 positions: a phrase break INSIDE a line, not a line end.
#   template  the 平仄 template, 中 where the tune leaves the tone free.
#
# HOW groups WAS BUILT, and why not from the source's own `yun_classify`.
# `yun_classify` is not a spec statement: on 菩薩蠻 格三 it places positions
# 6/13 in the same group as 18/23, and 菩薩蠻 changes rhyme between them --
# 雪 does not rhyme 眉. The groups here are read from what the notation prints:
# a new group at every 换 marker, and at every change in the register the
# template mandates at consecutive rhyme positions. That declines to assert a
# 平仄通叶 relation anywhere, which is the conservative direction: it can only
# split a real group, never merge two.
#
# THE MARKER GRAMMAR IS LOCALLY AMBIGUOUS and the parse is constrained, not
# guessed. 平 and 仄 are both template symbols and rhyme-marker prefixes
# (平韵, 仄韵, 换平韵, 换仄韵), so `中仄中平仄韵` is five template positions plus
# 韵 or four plus 仄韵. The parse is a search required to satisfy the source's
# own two invariants at once -- the template length must equal `ge_lyu_str`
# and the 韻 positions must equal `rhyme_pos`. 8 of 2,294 格 admit no such
# parse and are REFUSED rather than resolved by a tie-break (doctrine 66).
# Reading every 平/仄 as template instead -- the obvious first pass -- drops
# every 換韻 tune including 菩薩蠻's canonical 格, and drops them SILENTLY,
# because a mis-parse fails the invariant and looks like an unparsable file.
tune	aliases	chars	groups	ju	du	template
夢芙蓉		97	4.13.22.27.33.47.53.62.71.76.82.96	9.17.37.42.57.66.86.91		平平平仄仄仄平平仄仄仄平仄仄仄平平仄平仄仄平仄仄平平仄仄平平平仄平仄仄仄平平仄平平仄仄平仄仄平仄仄仄平平仄仄平仄平平仄仄平平仄仄平平仄平仄仄平仄仄平平仄仄平平仄仄平仄仄仄平平仄平平仄仄平仄仄平仄
西子妝		97	13.27.31.38.50.53.62.76.80.87.96	3.7.20.41.46.57.69.90	23.34.72.83	中仄中平中平仄仄仄仄中平平仄中平中仄仄平平仄平平仄平平仄平平仄仄仄中仄平平中仄仄平平仄中平平仄平平平仄平平仄仄仄平平仄仄平中仄中平平仄仄平平仄中平仄平平仄平平仄仄中平仄平平中仄仄平平中仄平平仄仄
玉京謠		97	13.23.37.40.48.63.73.87.90.96	4.8.17.30.44.54.58.67.80	26.33.76.83	仄仄平平仄仄仄平平仄仄平平仄仄仄平平平平平仄平仄仄仄仄平仄平平仄仄仄平平平仄平平仄平平仄仄平平平仄平平仄仄平平仄仄平平仄仄平仄仄平仄平平平平平仄平仄仄仄平平仄平平仄仄仄仄平平仄平仄仄平仄仄平平仄
被花惱		97	12.19.32.45.57.70.86.96	6.23.27.35.38.50.61.65.78.89	81	平平仄仄仄平平平仄仄平平仄仄仄平平仄平仄平平仄仄平平仄仄仄仄平平仄平仄仄仄平平仄平平仄平平仄平仄仄平平平仄平平仄平仄平平仄仄仄仄平平仄仄平平仄仄平平仄仄仄平平仄平仄平平仄平仄仄仄仄仄仄平平平仄仄
綠蓋舞風輕		97	13.26.37.48.50.63.76.87.96	4.8.17.22.30.40.44.54.59.67.80.90	33.70.83	仄仄仄平平仄仄平平平平仄平仄平仄平平平平平仄仄仄仄平仄仄仄平平仄平仄平平平仄仄平平仄仄平平平仄平仄平仄仄仄平平仄仄仄平平仄仄平仄仄仄平平仄平平仄仄仄平平仄仄仄平平仄平仄平平平仄仄平平仄仄仄平平仄
月邊嬌		97	12.26.37.48.62.76.80.87.96	3.8.16.20.30.41.54.58.66.70.91	33.44.83	平仄平平仄仄仄平平平平平仄仄平仄仄平平仄仄仄仄仄平平仄仄仄平平仄仄仄平平平仄平平平仄仄仄仄平平平仄仄平平仄平平仄平平仄仄平平仄仄平平仄平平仄仄平仄仄平平仄平平仄仄仄仄仄平平平仄平平仄仄仄仄平平仄
松梢月		97	3.12.22.36.48.62.72.86.96	8.16.29.40.43.53.58.66.79.90.93	32.82	仄仄平平平平仄仄仄平仄平平平仄平仄平仄仄仄平平仄仄平平平平仄仄仄仄仄仄平平仄仄平仄平平仄仄平仄平平仄平平仄仄仄仄平仄仄平仄平平仄仄平仄平仄仄仄平平仄仄平平平平仄仄仄仄仄仄平平仄仄平仄平平仄仄平平
四檻花		97	3.11.21.35.38.48.54.62.72.86.96	7.16.25.28.31.44.67.76.79.82.89.92	57	平仄平平仄平平仄仄平仄平平平平仄仄平平仄平平仄仄平平仄平平平仄仄仄仄平平仄平平平仄仄平仄仄平仄平平平仄仄仄平平仄平仄平平仄仄平平仄平仄仄平平仄平平仄仄平平仄平仄平平仄仄仄平平平平仄平仄仄仄仄平平
長亭怨慢		97	6.14.25.35.47.49.60.71.85.96	10.18.29.40.54.64.78.90	2.32.43.67.74.81	仄中仄中平中仄中仄平中仄中平仄仄仄平平中平平仄仄平仄仄平平仄平仄仄平平仄中仄仄平平中中仄中平平仄中仄仄平平中仄中仄中平平仄中平仄仄仄中仄中平平仄中中中中仄平平仄中仄中平平仄仄中仄平平中仄中平平仄
長亭怨慢		97	6.14.25.29.35.47.49.60.71.85.96	10.18.40.54.64.78.90	32.43.67.81	仄平仄仄平平仄仄仄平平仄平平仄仄仄平平平平平仄仄平仄仄平平仄平仄仄平平仄平仄仄平平仄仄仄仄平平仄平仄仄平平仄仄仄仄仄平平仄仄平仄仄仄平仄仄平平仄仄平仄仄仄平平仄平仄平平平仄仄仄仄平平仄仄平平平仄
長亭怨慢		97	6.14.25.29.36.47.49.54.60.64.71.85.96	10.18.40.78.90	2.32.43.67.74.81	仄平仄仄平平仄仄仄平平仄平平仄仄仄平平仄平平仄仄平仄仄平平仄平平仄平平仄仄仄仄平平平仄仄平平平仄平仄仄平平仄仄仄仄仄平平仄平平仄仄仄仄仄仄平平仄平平仄平仄平平仄平仄平平平仄仄仄仄平平仄仄平平平仄
長亭怨慢		97	14.25.36.47.49.60.71.85.96	6.10.18.29.40.54.64.78.90	2.32.43.67.74.81	仄平仄仄平平仄平仄平平仄平平仄仄仄平平仄平平仄仄平仄仄平平仄平平仄平平仄仄仄仄平平平平仄平平平仄平仄仄平平仄仄平仄仄平平仄平平仄仄仄平仄平平平仄仄平平仄仄平平仄仄仄仄平平仄仄平仄平平平仄仄平平仄
玉簟涼		97	3.12.22.35.47.49.63.73.86.96	8.17.28.38.43.53.57.68.79.89	31.82.92	平仄平平仄仄仄仄平仄仄平平平平平仄仄仄仄仄平平平平平仄仄仄仄仄仄仄仄平平平仄仄仄仄平平仄平仄平平平平平平仄仄平仄仄平平仄仄仄平平平平平仄仄仄仄仄平平平平仄仄仄仄仄仄仄仄仄平平平仄仄仄仄平平仄平平
留客住		98	2.19.34.47.50.59.69.84.97	9.13.25.29.38.55.63.75.79.88	5.41.91	仄平仄仄仄平仄平平仄仄平平仄仄仄平平仄仄平仄平平仄仄仄仄平平平平平仄仄平平仄仄仄平平仄仄仄平平仄仄平仄仄仄仄平平平平仄仄仄仄平平仄仄平平平仄平仄仄平平仄仄仄平平平平平仄仄平平仄仄仄平平仄仄仄平平仄
留客住		94	2.19.45.48.57.67.77.93	9.15.25.29.35.39.53.61.73.84	5.87	平平仄仄平平平平平仄仄仄平平平仄平平平仄仄仄平平仄仄仄仄平仄仄仄平平平仄仄仄平平平平仄平平仄仄平仄仄仄仄平平平平平仄平仄平平仄仄平平平仄仄仄平平仄仄仄平平仄仄仄平仄平仄仄仄平仄仄平仄仄平仄
晝夜樂		98	6.12.24.31.38.48.55.61.73.87.97	18.43.67.80.92	9.34.58.83	仄平中仄平平仄仄中中平中仄平平仄仄平平中仄中平中仄中中平中平中仄仄中中中平中仄中仄仄平平仄中中平仄中平中仄平平仄仄平平中平仄中平仄仄平平中仄平平中仄中仄平中平中仄中中中仄中平仄中仄仄平平仄平平中仄
晝夜樂		98	6.12.24.31.38.48.55.61.73.80.87.97	18.43.67.92	9.34.58.83	仄平平仄平平仄仄平仄平仄仄平平仄仄平平平仄平平仄仄仄平平仄平平仄仄平平仄平平仄仄仄仄平平仄平仄平仄仄平平仄平平仄仄平平平平仄仄平仄仄平平平仄平平仄仄仄仄平仄平平仄平平仄仄平平仄仄仄仄平平仄平平仄仄
雨中花慢		98	13.23.35.48.62.73.85.97	5.9.19.27.31.40.44.52.56.69.79.89.93	65	平仄平平平仄仄仄平平仄仄平平仄仄仄平平仄仄仄平平平仄平平平平仄仄仄仄平平仄仄仄仄仄平平仄仄仄仄平平平平仄仄平平平仄仄仄仄仄平平平仄仄仄平平仄仄仄平平平仄平平仄仄平平仄仄平平仄平平仄仄平平仄仄仄平平
雨中花慢		98	13.23.35.48.62.73.85.97	3.7.19.29.40.44.52.56.69.79.89.93	65	仄仄平平仄仄仄平平平仄仄平平仄仄平平仄仄仄仄平平平仄平平仄仄仄平仄仄平平仄平平仄仄仄仄平平平仄平平平平仄仄平仄平平仄平仄仄平平平仄仄平平平仄平仄平平仄仄平平平仄平平仄仄平平仄平平仄平平仄仄平仄平平
雨中花慢		99	13.24.36.49.63.74.86.98	3.7.20.30.41.45.53.57.70.80.90.94	16.66	仄仄平平仄仄仄平仄平平仄平平仄仄仄平平仄仄仄仄平平平仄平平仄仄仄平平仄平平仄平平仄仄仄仄平平仄仄平平平平平仄仄仄平平仄平仄仄平平仄平平仄平仄仄仄仄平平平仄仄平平仄仄平平仄平平仄平平仄平平平仄仄仄平平
雨中花慢		100	13.22.35.48.63.72.86.99	3.7.18.29.40.44.54.59.68.79.91.95	25.32.75.82	仄仄平平平平仄仄平仄仄仄平平仄平平平仄平仄平平仄仄仄平平仄仄仄平仄仄平平仄平平仄仄仄仄平平平仄平平平平仄仄仄仄仄平平仄仄平仄平平仄平仄平平平仄平平仄平仄平平仄仄平平平仄仄平平仄平平仄仄仄平平仄仄仄平平
雨中花慢		97	13.22.34.47.61.72.84.96	3.7.18.28.39.43.51.55.68.78.88.92	64	仄中平中中中仄中中平中仄平平仄中平中仄中仄平平中仄中平中仄中平中仄平平仄平平中仄中中中中中仄平平中平中仄中中平中中中中仄平平中仄仄平平中仄中仄平平中仄中平中仄中平中仄平平中平中仄中平中仄中仄平平
雨中花慢		96	13.22.34.46.60.71.83.95	3.7.18.28.38.42.50.54.67.77.87.91	63	仄仄平平平平仄仄仄平仄仄平平仄仄平仄仄平仄平平仄仄平平仄仄平平平仄平平平平仄仄仄平仄仄仄仄平平仄平平仄平仄平平平平仄仄平平平仄仄平平仄仄仄仄平平仄仄仄平仄仄平平仄仄平平平平仄仄平平平仄仄仄平平
雨中花慢		98	13.23.35.48.62.73.85.97	3.7.17.29.40.44.52.56.69.79.89.93	65	仄仄平平仄仄平仄平平仄仄平平仄仄平平平平仄仄平平平仄平平平仄仄平仄仄平平仄平平平仄仄仄平平仄仄平平平平仄仄仄仄平平平仄仄仄平平平仄仄平平仄仄仄仄平平平仄平平平仄仄平仄仄平平仄平仄仄平平平仄仄仄平平
雨中花慢		97	13.22.34.47.61.72.84.96	3.7.17.28.39.43.51.55.68.78.88.92	64	仄仄平平仄仄仄平平平平仄平平仄仄仄平平仄仄平平平仄平平仄仄仄平平仄平平仄平平平仄仄仄平平平仄平平仄平仄仄平仄平平仄平平仄平平平仄仄平平平仄仄仄平平仄仄平平仄仄平平平仄平平仄平平仄仄平平仄仄仄平平
雨中花慢		96	13.22.34.46.60.71.83.95	3.9.18.28.38.42.50.54.67.77.87.91	63	仄仄平平平仄仄仄平平仄仄平平仄仄平平仄仄仄平平平仄仄平平仄平平仄仄平平平平仄仄平平平仄仄仄平平平平仄仄仄平平仄仄仄仄仄平平平仄仄平平平仄平仄平平仄仄仄平平仄仄平平仄平平仄平平仄仄平平仄仄仄平平
雨中花慢		98	13.22.34.47.61.72.84.97	5.9.18.28.39.43.51.55.68.78.89.93	64	仄仄中平平仄仄中平平仄中平仄仄平平平仄仄中平仄仄仄平平平仄平仄仄平平仄仄仄平平仄中中平中仄中平仄平平中仄中中中中中仄仄平平仄平中仄平平中仄仄平平仄仄仄中平中仄中平中仄平仄仄平平仄仄中平平仄仄中平仄
雨中花慢		98	13.23.35.48.62.73.85.97	5.9.19.27.31.40.44.52.56.69.79.89.93	65	仄仄平平平仄仄仄平平仄平平仄仄仄平平平仄仄平平仄平仄平平平平仄仄仄平平仄仄仄平平仄平平平仄仄平平仄平平平仄仄仄仄平仄仄仄平平仄平仄仄平平仄仄仄平平仄仄仄仄平平仄平平平仄平仄仄平仄仄平平平仄仄平平仄
雨中花慢		97	13.22.34.47.61.72.84.96	3.7.18.26.30.39.43.51.55.68.78.88.92	64	仄仄平平平仄仄仄平平仄平平仄仄平平平仄仄仄平仄平仄平平平平仄仄仄平平仄仄仄平平仄平平平仄仄仄平仄平平仄仄仄平平仄平仄仄平平仄平平仄平平平仄仄平平仄仄仄仄平仄仄平平仄仄平仄仄平仄仄仄平平仄仄平平仄
雨中花慢		97	13.23.35.40.48.61.72.84.88.96	5.9.19.27.31.44.55.68.78.92	51.64	仄仄仄平平仄仄仄平平仄平平仄仄仄平平平仄仄仄平仄仄仄平平平平仄仄仄平平仄仄仄平平仄平平平仄仄平平仄平平仄仄平平仄仄仄仄平平仄平仄仄平平平仄仄平平仄仄仄平平仄仄平平仄仄平仄仄平仄仄平平平仄仄平平仄
萬年歡		98	3.12.22.35.48.63.73.86.97	8.16.28.42.54.59.69.79.93	31.38.82.89	仄仄平平仄中平中仄仄仄平平中仄平平平中中仄平平中仄平平仄仄中中中中仄平平平平仄中仄平平仄平仄仄平平平平中中中中仄中中中中中仄平平中仄平平平仄中仄平平仄仄平平仄仄仄中中中仄平平平平仄中仄中平平仄平平
萬年歡		100	3.12.22.35.48.54.63.73.86.99	8.16.28.42.59.67.79.93	31.38.82.89	仄仄平平仄仄平平仄仄仄平平仄仄平平平平平仄平平仄仄平平仄仄仄平平平仄平平平平仄平仄平平仄平仄仄平平平平平仄平平仄仄仄平平仄仄平平仄仄平平平平仄仄平平仄仄平平仄仄仄平平仄仄平平平平仄仄仄平平仄平平仄平平
萬年歡		101	13.23.36.49.64.74.87.100	3.7.19.29.39.43.55.60.70.80.90.94	32.83	仄仄平平平平平仄仄平平仄平平仄仄平平平仄仄仄平平仄仄平平仄仄平平仄平仄平平平平仄平仄平平仄平仄仄平平平平仄平仄仄仄仄平平仄仄仄平平仄仄平平平仄仄仄平平仄仄平平仄仄平仄仄仄仄平平平平仄仄仄平平仄平平仄平平
萬年歡		102	13.23.36.49.65.75.88.101	3.7.17.29.43.53.57.61.71.81.95	39.84.91	仄仄平平仄平仄仄仄平平仄平平平仄平平平仄平仄平平仄仄平平仄仄仄平平平仄平平平平仄仄仄平平仄平仄仄平平平平仄仄仄平平仄平平仄仄仄仄平平仄仄平平平仄平仄平平仄仄平平仄仄仄平平仄仄平平平平仄平仄平平仄平平仄平平
萬年歡		100	12.22.35.48.54.63.73.86.99	3.8.16.28.42.59.67.79.93	31.38.82.89	中仄平平仄中平中中中中中仄中仄平平中仄中平中仄中仄中平中仄中中中中平中仄中中中中仄平平中中平中平仄中平仄中中仄仄中平仄中中中中仄中仄平平中仄中平中仄中仄中平中仄仄中中中平中仄中中仄中仄平平中中中中平仄
萬年歡		100	12.22.28.35.48.54.63.73.79.86.99	3.8.16.42.59.67.93	31.38.82.89	平仄平平仄平平仄平平仄平仄仄仄平平平仄仄平平仄仄仄平平仄仄仄仄仄平平仄仄平平仄平仄平平仄平平仄平仄平平仄平仄仄仄平平仄平平仄平仄平仄平平平平仄平平仄平仄平平仄仄仄平仄平平平仄平平仄平仄平平仄平平仄平仄
萬年歡		100	12.22.35.48.54.63.73.86.99	3.8.16.28.42.51.59.67.79.93	31.38.82	仄仄平平仄仄平仄仄平仄平仄仄仄平平仄仄平平仄仄仄仄平平仄仄仄平仄仄平平仄仄仄平仄仄平平仄平平仄平仄平平仄平仄仄仄平平仄仄平平仄仄平仄平平平仄仄平平仄仄仄仄平平仄仄平平仄平平仄平平仄仄仄平平仄平平仄平仄
萬年歡		101	12.22.28.35.48.54.63.73.79.87.100	3.8.16.42.51.59.67.94	31.38.83.90	仄仄平平仄仄平仄仄仄平仄仄平仄平平平仄仄平平仄平仄平平平仄仄平平平平仄仄仄平仄仄仄平平仄平平仄平仄平平仄仄仄仄仄仄平仄仄仄仄平仄仄仄平平仄仄平平仄仄平仄平平仄仄仄仄仄仄平平仄仄仄平仄仄仄平平仄平仄仄平仄
萬年歡		100	12.22.35.48.54.63.73.86.99	3.18.28.42.59.67.79.93	6.31.38.82.89	仄仄平平仄平平仄平平仄平仄仄仄平平平仄仄平平仄仄仄平平仄仄仄仄仄平平平仄平平仄仄仄平平仄平平仄平仄平平仄平仄仄仄平平仄仄平仄平仄仄仄平平平仄仄平平仄平仄平平仄仄仄仄仄平平平仄平平仄仄仄平平仄平平仄平仄
萬年歡		100	12.22.35.48.63.73.79.86.99	3.8.16.28.42.54.59.69.93	31.38.82.89	仄仄平平仄平平仄平平仄平仄仄仄平平平仄仄平平仄仄仄平平仄仄仄平平平平平仄平仄仄平仄平平仄平平仄平仄平平仄仄平仄仄平平仄平平仄平仄仄仄平平平仄仄平平仄仄仄平平平仄仄平平平平平仄平仄仄平仄平平仄平平仄平仄
萬年歡		100	3.12.22/35/48.54.63/73.86.99	8.18.28.42.59.67.79.93	31.38.82.89	平仄平平仄平平仄仄仄仄平平仄仄平平仄仄仄仄平平仄仄平平仄仄仄仄仄平平平仄平平仄平仄平平仄平平仄平平平平仄仄仄平仄平平仄仄仄仄平平仄仄平平平仄仄平平仄仄仄平平仄仄仄平仄平平平仄平平仄仄仄平平仄仄仄平平仄
燕春臺		98	13.23.29.36.48.64.74.85.88.97	3.7.17.40.44.52.56.60.68.78.93	32.81	中仄平平中平中仄中平中仄平平中仄平平中平中仄平平中平中仄平平仄平平中仄平平中平平仄中平中仄中仄平平中平中仄中仄平平仄平中仄中仄平平平平仄仄中平仄仄平平中仄平平仄中平中仄平平仄平平平仄平中仄中仄平平
燕春臺		98	13.23.29.36.48.64.74.85.88.97	3.7.17.40.44.52.56.60.68.78.92	32.81	仄仄平平平平仄仄仄平平仄平平平仄平平平平平仄平平平平仄仄平平仄平平平仄平平平平平仄仄平平仄平仄平平平平仄仄仄仄平平仄平平仄平仄平平平平仄仄平平仄仄平平仄仄平平仄平平平仄平平仄平平平平平仄仄平仄平平
燕春臺		97	13.23.29.36.48.64.74.78.85.88.96	3.7.17.40.44.52.56.60.68.92	32.81	仄仄平平仄平平仄平平仄仄平平仄仄平平仄平仄仄平平仄平平仄平平仄平平仄仄平平平平平仄平平仄仄平仄平平平平平仄仄仄平平仄平仄仄平仄平平平平仄仄平平仄仄平平仄仄平平仄平平仄仄平平仄平平仄仄平平平仄平平
燕春臺		97	13.23.29.36.48.64.74.78.85.96	3.7.17.40.44.52.56.60.68.88.92	32.81	仄仄平平仄平平仄平平平仄平平仄仄平平仄平平仄平平仄平平仄平平仄平平仄仄平平平平平仄平平仄平平仄平平平平平仄仄仄平平仄平平仄平仄平平平平仄仄仄平仄仄平平仄仄平平仄平平仄仄平平仄平平平仄仄平仄仄平平
逍遙樂		98	5.15.29.33.44.53.59.65.76.87.97	9.19.23.40.49.70.81.93	36.73	平仄仄平平仄仄仄平平平仄仄平平仄仄仄平平仄仄平平仄仄平平平仄仄平平仄仄平平仄仄平平仄平平仄仄仄仄平平仄仄平仄平仄平平平仄仄平平平仄仄平平仄平仄平仄仄仄平仄平平仄仄仄平仄仄平平仄平平仄平平仄平平平仄
八節長歡		98	3.11.21.35.45.51.60.74.84.97	7.16.28.41.65.77.91	31.54.68.80.87	中仄平平仄平平仄仄仄平平平平中中仄平仄仄平平平平平仄仄平中仄中平中仄平平仄仄平平仄仄中仄平平平平仄仄平平平仄仄平平仄仄平平平仄仄平平平中仄中平仄仄平平平中仄中仄中仄仄平平平平仄平平平仄平中仄仄平平
八節長歡		99	3.11.21.35.46.52.61.75.85.98	7.16.28.42.66.78.92	31.38.55.69.81.88	仄仄平平仄平平仄仄仄平平平平仄平仄平仄仄平平平平平仄仄平平仄平平仄仄平平仄平仄仄平仄仄仄仄平平平平仄仄平平平仄仄平平仄仄平平平仄仄平平平平仄仄平仄仄平平平仄仄仄仄平仄仄平平平平仄平平平仄平仄仄仄平平
憶東坡		98	9.21.38.49.58.69.86.97	4.16.27.33.42.53.64.75.81.92		仄仄仄平平仄仄平平仄平仄仄平平平仄平仄平平仄仄仄仄平平仄平平仄仄平平仄仄平平仄平平仄仄平仄平平仄平仄平平平仄仄仄平平仄仄平平仄平仄平仄平平仄平仄仄平仄仄平平平仄平平仄仄平平仄平平平仄仄平平仄平平仄
粉蝶兒慢		98	13.23.36.48.50.54.63.73.86.97	3.7.18.30.39.68.80.93	42.57.89	仄仄平平平平仄仄仄仄平平平仄仄平平仄仄仄平平平仄仄仄平平平仄平仄仄平平平仄仄平平仄仄平仄仄平平平仄仄仄平平仄仄平平平仄仄平平平仄仄平平仄仄仄平平平仄仄仄平平平仄仄仄仄仄平平仄仄平平仄仄平平仄平平仄
並蒂芙蓉		98	12.22.35.39.48.63.73.86.90.97	3.8.17.28.54.59.68.79	42.93	仄仄平平仄仄平仄仄平平平仄平仄仄平平仄平仄平仄平平仄平仄仄仄仄平平仄平仄仄平仄仄仄平平仄仄平平平仄平平仄平仄仄仄平平仄仄平平平仄仄仄仄平平仄平仄平仄平平仄平仄仄仄仄平平平平仄仄平仄仄仄平平仄平平仄
黃河清慢		98	6.12.22.35.48.63.73.86.97	18.28.41.54.67.79.90	31.44.57.82.93	平仄平平平仄仄平平平仄平仄仄仄仄平平仄平平平仄平仄平平仄仄仄平仄平平仄仄仄平平仄平平仄仄平仄仄平仄平平仄仄平平平平仄仄平平仄平仄仄仄仄平仄仄平平仄仄仄仄平平仄仄仄平仄平平仄仄仄平平仄平平仄仄平平仄
春草碧		98	13.25.36.48.50.64.76.87.97	4.9.16.21.29.40.43.55.60.67.72.80.91.94	32.83	仄平平仄平仄仄平仄平平仄平仄平平仄平仄仄平仄仄平平仄平平仄仄仄仄仄平平仄仄平仄仄仄平平仄仄仄仄平仄平仄仄平平仄平仄仄平仄仄仄仄平仄平平仄仄仄仄平仄仄平平仄平平仄平仄平仄平平仄仄仄仄仄平平平仄仄平仄
芰荷香		98	2.11.21.32.38.46.62.72.83.89.97	7.15.25.42.53.58.66.76.93	28.79	仄平平仄平中仄仄中仄平平仄平平仄仄中中仄平平中平中仄仄中中中仄平平中中中中平平中平仄仄中仄平平中仄平平仄中仄仄中平中仄平仄平平中平中仄中中中仄平平中平中仄仄中中中仄平平中中仄仄平平平平仄仄仄仄平平
芰荷香		97	2.11.21.32.38.46.61.71.82.88.96	7.15.25.42.52.57.65.75.92	28.78	仄平平仄平平仄仄仄仄平平仄平平仄仄平仄仄平平平平仄仄仄仄平平仄平平仄仄仄仄平平平平仄仄平仄平平仄仄平平仄仄仄仄平平仄平仄平平仄平平仄仄平平仄平平仄平平仄仄仄平平仄平平平仄仄仄平平平平仄仄仄仄平平
繡停針		98	11.25.29.36.48.53.62.76.80.87.97	2.7.15.19.42.58.66.70.91	32.83	仄仄仄仄仄仄平平仄仄平仄平仄平平平仄仄平仄仄仄平平仄仄平平仄仄仄仄平平平仄仄平仄仄平平仄平仄平平仄平平仄仄仄仄仄仄仄仄仄平平仄仄仄平平平仄仄平平仄仄平平仄仄平平仄仄仄仄平平平仄仄平平仄仄平仄平仄仄
揚州慢		98	13.23.38.49.60.73.86.97	3.7.18.30.34.45.53.65.69.79.91	26.41.56.82	中仄平平中平中仄中平中仄平平仄平平中仄中中仄平平仄中仄平平中仄中平中仄中仄平平仄平平中中平中平仄平平中平中仄仄平平中仄平平仄中仄平平中平中仄中仄平平仄仄中平平仄平平仄中仄平平仄中平平仄中平中仄平平
揚州慢		98	13.23.38.49.60.73.86.97	3.7.19.30.34.45.53.65.69.79.91	16.26.41.56.82	仄仄平平平平平仄平平仄仄平平仄平平仄仄仄平仄平平仄平仄平平仄仄仄平平仄平仄平平仄平平仄仄平平平仄平平平平仄仄仄平平仄仄平平仄平仄平平平平仄仄仄仄平平仄仄平平平仄平平仄平仄平平仄仄平平仄仄平仄仄平平
揚州慢		98	13.23.38.49.60.73.86.97	3.7.18.30.34.43.53.65.69.79.91	26.56.82	仄仄平平平平仄仄仄平仄仄平平仄平平平仄仄平仄平平仄仄仄平平平仄平平仄仄平仄平平仄平平仄仄仄平平仄平平平平平仄仄平平平仄平平仄仄仄平平平平平仄平仄平平仄仄平平平仄平平仄仄仄平平仄平平平仄平平平仄平平
舞楊花		98	12.21.35.41.47.62.71.85.91.97	6.16.28.53.58.66.78	31.81	仄平仄仄平平仄平仄仄仄平平仄仄平平平仄仄平平仄平平仄仄平仄仄平平仄仄平平平仄仄仄平平仄仄平仄平平平仄平平仄仄仄平平平仄平仄平平平仄仄平平仄仄平平平平仄仄仄平仄仄平平平仄平平平仄仄仄平平仄仄平仄平平
雙雙燕		98	12.22.28.35.47.49.53.62.72.78.85.97	3.8.16.41.58.66.91	31.81	仄平仄仄仄平仄平平仄平平仄平平仄仄中仄仄平平仄平仄平平仄仄仄中仄平平中仄平平仄仄平平仄仄平平平仄平仄平平仄仄仄仄仄平平仄平平仄中平平仄仄仄仄平平仄平仄平平仄仄仄中仄平平平仄平中仄仄中平中仄仄平中仄
雙雙燕		98	12.22.35.47.49.53.62.72.78.85.97	3.6.16.28.41.56.66.91	31.81	仄平仄仄平平仄平平仄平平仄平平仄仄平仄仄平平仄平仄平平仄仄仄平仄平平平仄平平仄仄平平仄仄平平平仄平仄平平仄仄平仄仄平平仄平平仄仄平平仄仄仄仄平平仄平仄平平仄仄仄仄仄平平平仄平平仄仄仄平平仄仄平平仄
孤鸞		98	3.12.22.35.46.54.63.73.86.97	8.16.28.41.59.68.79.92	31.49.82	中平平仄仄中仄平平中平平仄仄仄平平仄仄中平平仄平平仄平仄仄仄平平仄平平仄中仄中平中仄仄仄平平仄仄中平中仄中平仄仄中仄平平中中中仄仄仄平平仄仄中平中仄中平仄平仄仄仄平平仄平平仄中中中平中仄仄中平平仄
孤鸞		98	3.12.22.35.46.54.63.73.86.97	8.16.28.41.59.67.79.92	31.49.82	平平平仄仄仄仄平平仄平平仄仄仄平平仄仄仄平平仄平平仄平仄仄仄平平仄平平仄仄仄仄平平仄仄仄平平仄仄仄平平仄仄平仄仄仄仄平平平仄平仄仄仄仄平仄仄仄平平仄仄平仄平仄仄仄平平仄平平仄平仄平平仄仄仄仄平平仄
