author	lang	born	died	tradition	pd_route	pd_expired	status	corpus_path	note
Vyāsa	san			sanskrit	d (era only; upper bound assumed)	570	PENDING_TEXT		table life: traditionally ancient; dates uncertain; death bounded at 500 (era), not verified
Aśvaghoṣa	san		150	sanskrit	c (author death year circa, not verified)	220	PENDING_TEXT		table life: c. 80–150; death bounded at 150 (single), not verified
Bhāsa	san			sanskrit	d (century only; upper bound assumed)	370	PENDING_TEXT		table life: c. 2nd–3rd century; death bounded at 300 (century), not verified
Kālidāsa	san			sanskrit	d (century only; upper bound assumed)	570	PENDING_TEXT		table life: c. 4th–5th century; death bounded at 500 (century), not verified
Bhartṛhari	san			sanskrit	d (century only; upper bound assumed)	570	PENDING_TEXT		table life: c. 5th century; death bounded at 500 (century), not verified
Amaruka (Amaru)	san			sanskrit	d (century only; upper bound assumed)	770	PENDING_TEXT		table life: 7th century; death bounded at 700 (century), not verified
Bhāravi	san			sanskrit	d (century only; upper bound assumed)	670	PENDING_TEXT		table life: 6th century; death bounded at 600 (century), not verified
Daṇḍin	san			sanskrit	d (century only; upper bound assumed)	870	PENDING_TEXT		table life: c. 7th–8th century; death bounded at 800 (century), not verified
Bhavabhūti	san			sanskrit	d (century only; upper bound assumed)	870	PENDING_TEXT		table life: c. 8th century; death bounded at 800 (century), not verified
Māgha	san			sanskrit	d (century only; upper bound assumed)	870	PENDING_TEXT		table life: c. 7th–8th century; death bounded at 800 (century), not verified
Bāṇabhaṭṭa	san			sanskrit	d (century only; upper bound assumed)	770	PENDING_TEXT		table life: 7th century; death bounded at 700 (century), not verified
Harṣa	san			sanskrit	d (century only; upper bound assumed)	770	PENDING_TEXT		table life: c. 7th century; death bounded at 700 (century), not verified
Bilhaṇa	san			sanskrit	d (century only; upper bound assumed)	1170	PENDING_TEXT		table life: 11th century; death bounded at 1100 (century), not verified
Kṣemendra	san	990	1070	sanskrit	c (author death year circa, not verified)	1140	PENDING_TEXT		table life: c. 990–1070; death bounded at 1070 (circa), not verified
Śrīharṣa	san			sanskrit	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 12th century; death bounded at 1200 (century), not verified
Jayadeva	san			sanskrit	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 12th century; death bounded at 1200 (century), not verified
Govardhana	san			sanskrit	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 12th century; death bounded at 1200 (century), not verified
Vidyākara	san			sanskrit	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 11th–12th century; death bounded at 1200 (century), not verified
Śrīdharadāsa	san			sanskrit	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 12th century; death bounded at 1200 (century), not verified
Jalhaṇa	san			sanskrit	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 12th century; death bounded at 1200 (century), not verified
Vallabhadeva	san			sanskrit	d (century only; upper bound assumed)	1370	PENDING_TEXT		table life: 12th–13th century; death bounded at 1300 (century), not verified
Vedānta Deśika	san	1269	1370	sanskrit	b (verified author death year)	1440	PENDING_TEXT		table life: 1269–1370
Bilvamaṅgala (Līlāśuka)	san			sanskrit	d (century only; upper bound assumed)	1370	PENDING_TEXT		table life: traditionally 13th century; death bounded at 1300 (century), not verified
Rūpa Gosvāmin	san	1489	1564	sanskrit	c (author death year circa, not verified)	1634	PENDING_TEXT		table life: c. 1489–1564; death bounded at 1564 (circa), not verified
Jīva Gosvāmin	san	1513	1598	sanskrit	c (author death year circa, not verified)	1668	PENDING_TEXT		table life: c. 1513–1598; death bounded at 1598 (circa), not verified
Kṛṣṇadāsa Kavirāja	san	1496	1598	sanskrit	c (author death year circa, not verified)	1668	PENDING_TEXT		table life: c. 1496–c. 1598; death bounded at 1598 (circa), not verified
Vadirāja Tīrtha	san	1480	1600	sanskrit	b (verified author death year)	1670	PENDING_TEXT		table life: 1480–1600
Prabodhānanda Sarasvatī	san			sanskrit	d (century only; upper bound assumed)	1670	PENDING_TEXT		table life: 16th century; death bounded at 1600 (century), not verified
Nīlakaṇṭha Dīkṣita	san			sanskrit	d (century only; upper bound assumed)	1770	PENDING_TEXT		table life: 17th century; death bounded at 1700 (century), not verified
Appayya Dīkṣita	san	1520	1593	sanskrit	b (verified author death year)	1663	PENDING_TEXT		table life: 1520–1593
Rāmabhadra Dīkṣita	san			sanskrit	d (century only; upper bound assumed)	1770	PENDING_TEXT		table life: 17th century; death bounded at 1700 (century), not verified
Śaṅkaradeva	san	1449	1568	sanskrit	b (verified author death year)	1638	PENDING_TEXT		table life: 1449–1568
Kavikarṇapūra	san	1524	1571	sanskrit	c (author death year circa, not verified)	1641	PENDING_TEXT		table life: c. 1524–1571; death bounded at 1571 (circa), not verified
Kṛṣṇānanda	san			sanskrit	d (era only; upper bound assumed)	1670	PENDING_TEXT		table life: medieval period; death bounded at 1600 (era), not verified
Rāmapāṇivāda	san			sanskrit	d (century only; upper bound assumed)	1870	PENDING_TEXT		table life: 18th century; death bounded at 1800 (century), not verified
Vāsudeva	san			sanskrit	d (era only; upper bound assumed)	1870	PENDING_TEXT		table life: medieval/early modern period; death bounded at 1800 (era), not verified
Veṅkaṭādhvarin	san			sanskrit	d (century only; upper bound assumed)	1770	PENDING_TEXT		table life: 17th century; death bounded at 1700 (century), not verified
Vādirāja Tīrtha	san	1480	1600	sanskrit	b (verified author death year)	1670	PENDING_TEXT		table life: 1480–1600
Kṛṣṇamācārya	san			sanskrit	d (era only; upper bound assumed)	1670	PENDING_TEXT		table life: medieval period; death bounded at 1600 (era), not verified
Cidambara	san			sanskrit	d (era only; upper bound assumed)	1870	PENDING_TEXT		table life: early modern period; death bounded at 1800 (era), not verified
Kavirāja	san			sanskrit	d (era only; upper bound assumed)	1870	PENDING_TEXT		table life: early modern period; death bounded at 1800 (era), not verified
Sūrya Kavi	san			sanskrit	d (era only; upper bound assumed)	1870	PENDING_TEXT		table life: early modern period; death bounded at 1800 (era), not verified
Hemacandra	san	1088	1172	sanskrit	b (verified author death year)	1242	PENDING_TEXT		table life: 1088–1172
Padmagupta	san			sanskrit	d (century only; upper bound assumed)	1170	PENDING_TEXT		table life: c. 10th–11th century; death bounded at 1100 (century), not verified
Sandhyākaranandin	san			sanskrit	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 11th–12th century; death bounded at 1200 (century), not verified
Kalhaṇa	san	1100	1160	sanskrit	c (author death year circa, not verified)	1230	PENDING_TEXT		table life: c. 1100–c. 1160; death bounded at 1160 (circa), not verified
Māṅkha	san			sanskrit	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 12th century; death bounded at 1200 (century), not verified
Śivasvāmin	san			sanskrit	d (century only; upper bound assumed)	970	PENDING_TEXT		table life: 9th century; death bounded at 900 (century), not verified
Rājaśekhara	san	880	920	sanskrit	c (author death year circa, not verified)	990	PENDING_TEXT		table life: c. 880–920; death bounded at 920 (circa), not verified
Bhatti	san			sanskrit	d (century only; upper bound assumed)	770	PENDING_TEXT		table life: 6th–7th century; death bounded at 700 (century), not verified
Kumāradāsa	san			sanskrit	d (century only; upper bound assumed)	670	PENDING_TEXT		table life: c. 6th century; death bounded at 600 (century), not verified
Ratnākara	san			sanskrit	d (century only; upper bound assumed)	970	PENDING_TEXT		table life: 9th century; death bounded at 900 (century), not verified
Jayānaka	san			sanskrit	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 12th century; death bounded at 1200 (century), not verified
Nayacandra Sūri	san			sanskrit	d (century only; upper bound assumed)	1570	PENDING_TEXT		table life: 14th–15th century; death bounded at 1500 (century), not verified
Vastupāla	san			sanskrit	d (century only; upper bound assumed)	1370	PENDING_TEXT		table life: c. 12th–13th century; death bounded at 1300 (century), not verified
Śārṅgadhara	san			sanskrit	d (century only; upper bound assumed)	1470	PENDING_TEXT		table life: 14th century; death bounded at 1400 (century), not verified
Sāyaṇa	san	1315	1387	sanskrit	c (author death year circa, not verified)	1457	PENDING_TEXT		table life: c. 1315–1387; death bounded at 1387 (circa), not verified
Śilhaṇa	san			sanskrit	d (century only; upper bound assumed)	1270	PENDING_TEXT		table life: 12th century; death bounded at 1200 (century), not verified
Kusumadeva	san			sanskrit	d (era only; upper bound assumed)	1670	PENDING_TEXT		table life: medieval period; death bounded at 1600 (era), not verified
Śambhu	san			sanskrit	d (era only; upper bound assumed)	1670	PENDING_TEXT		table life: medieval period; death bounded at 1600 (era), not verified
Harikavi	san			sanskrit	d (era only; upper bound assumed)	1670	PENDING_TEXT		table life: medieval period; death bounded at 1600 (era), not verified
Raage Ugaas	som			somali	d (century only; upper bound assumed)	1970	BLOCKED_ORTHOGRAPHY		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 18th–19th century; death bounded at 1900 (century), not verified
Xirsi Garaad Faarax “Wiilwaal”	som			somali	d (century only; upper bound assumed)	1970	BLOCKED_ORTHOGRAPHY		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th century; death bounded at 1900 (century), not verified
Cali Bucul	som			somali	d (century only; upper bound assumed)	1970	BLOCKED_ORTHOGRAPHY		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th century; death bounded at 1900 (century), not verified
Aadan-Gurey Maxamed Cabdille	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
Faarax Afcad	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
Qawdhan Ducaale	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
Cali Jaamac Haabiil	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
Maxamed Cabdille Xasan (Sayyid Maxamed)	som	1856	1920	somali	b (verified author death year)	1990	BLOCKED_ORTHOGRAPHY		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 1856–1920
Xuseen Maxamuud Faarax “Xuseen Dhiqle”	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
Saahid Qamaan	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
Qamaan Bulxan	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
Nuur Ugaas Rooble	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
Cilmi Boodheri / Cilmi Bowndheri	som	1900	1940	somali	b (verified author death year)	2010	BLOCKED_ORTHOGRAPHY		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 1900–1940
Faarax Shuuriye	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
Cumar Xuseen “Ostreeliya”	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
Muuse Xaaji Ismaaciil Galaal	som	1910	1980	somali	c (author death year circa, not verified)	2050	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: c. 1910–1980; death bounded at 1980 (circa), not verified; life+70 = 2050 has not expired
Axmed Maxamed Good “Shimbir”	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
Cali Dhuux Aadan	som			somali	d (century only; upper bound assumed)	2070	REFUSED_DATE		Somali BLOCKED regardless of author date: the Latin orthography dates from 1972 and the cutoff is 1931 (MISSING.md K-5, doctrine 38); table life: 19th–20th century; death bounded at 2000 (century), not verified; life+70 = 2070 has not expired
